Asset_Num;Endpoint Type;Host ID;Host Name;ID;OS Version;Sensor ID;Sensor Tenant;Sensor Version;osFamily
186;ENDPOINT_MICROSOFT_ATP;beb925454621c4138df0642141b877f17982f9d3;wkssdc6npj172.netcenter.com.br;6009bb0d-2306-41f9-843e-fc62e8d9aae5;Windows10;beb925454621c4138df0642141b877f17982f9d3;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
187;ENDPOINT_MICROSOFT_ATP;f11931118349227c55e0ee0d916ea306f8a0e021;claudio_costa_android;14742623-a534-44c4-b5d1-6a6611d65eab;14.0;f11931118349227c55e0ee0d916ea306f8a0e021;ae05bd5a-1123-4191-8d0f-696daba31d1e;1.0.6226.102;ANDROID
188;ENDPOINT_MICROSOFT_ATP;6fdd91b221bd63758e19ddc278d07ebf22020457;wksesp020.netcenter.com.br;27992f73-2ae2-4948-a950-a612566d5930;Windows11;6fdd91b221bd63758e19ddc278d07ebf22020457;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
189;ENDPOINT_MICROSOFT_ATP;85630976598851302bd8ae7fd73281cee364811b;wkscomcyg25w3.netcenter.com.br;ab992a94-e1ff-4a2e-bb95-2e0e5ee4e815;Windows11;85630976598851302bd8ae7fd73281cee364811b;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22631.3155;WINDOWS
190;ENDPOINT_MICROSOFT_ATP;ac0b0a85c557fd8404b9dea12d7ee7a95d6dddd3;rogerio_ladeira_android;38d4dc4e-f6f4-4db2-b864-426c029fbb06;14.0;ac0b0a85c557fd8404b9dea12d7ee7a95d6dddd3;ae05bd5a-1123-4191-8d0f-696daba31d1e;1.0.6226.102;ANDROID
191;ENDPOINT_MICROSOFT_ATP;aa94c4d1501d190d85ca205e474c12be1ef9c0ff;desktop-m8ubc8j;810bb107-8a5a-4030-a71c-ffddebcdc608;Windows10;aa94c4d1501d190d85ca205e474c12be1ef9c0ff;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
192;ENDPOINT_MICROSOFT_ATP;5394f10b78274c8ee1642957807db1ee93f5dae8;wkscomc7lz4w3.netcenter.com.br;6d5fc26d-00fa-40c1-b7f7-512bec32ecb8;Windows11;5394f10b78274c8ee1642957807db1ee93f5dae8;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
193;ENDPOINT_MICROSOFT_ATP;2d62287fa88acbfc5dc84f35956b3581615ffe10;wkssdc5xfn0l2.netcenter.com.br;1492f1be-c0c9-41f7-ab5c-ebc7162cae61;Windows11;2d62287fa88acbfc5dc84f35956b3581615ffe10;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
194;ENDPOINT_MICROSOFT_ATP;aec0bd27a05807b3b18a552fa28a7051fe038030;wksfin87lz4w3.netcenter.com.br;f0f1d6c0-40bc-4d26-b66f-0ee80e06c792;Windows11;aec0bd27a05807b3b18a552fa28a7051fe038030;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
195;ENDPOINT_MICROSOFT_ATP;d2b2b20e5be25f3c5af9eec7e434147ba03bfb0c;wksdrh002.netcenter.com.br;febd8a0b-f2ca-4bd8-8f9b-44ecabfc10ba;Windows10;d2b2b20e5be25f3c5af9eec7e434147ba03bfb0c;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
196;ENDPOINT_MICROSOFT_ATP;b262f681b7754bc7e3b56ca5a8ecdd78a405c781;wkscom010.netcenter.com.br;adfcc394-4c1c-4a93-8566-152c7fe4dc5a;Windows10;b262f681b7754bc7e3b56ca5a8ecdd78a405c781;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
197;ENDPOINT_MICROSOFT_ATP;cabbdefe7fc92dc7fb9bd3bacca047de355b3b7a;wksgerdyg25w3.netcenter.com.br;cd28f93f-a41f-4047-b8ef-02487a61aa85;Windows11;cabbdefe7fc92dc7fb9bd3bacca047de355b3b7a;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22631.3155;WINDOWS
198;ENDPOINT_MICROSOFT_ATP;2d0dd86227c838feb2dd3e058e17f725211230b7;wksprj5xgl0l2.netcenter.com.br;cc6503d8-b44f-46bd-ba39-0306ce85e24c;Windows11;2d0dd86227c838feb2dd3e058e17f725211230b7;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
199;ENDPOINT_MICROSOFT_ATP;d5ca5a75dd2c9b9da82e84b8717e51be99e3c16c;wkscom008.netcenter.com.br;5bc351f6-52de-4eb2-a09a-78aeec5fc156;Windows10;d5ca5a75dd2c9b9da82e84b8717e51be99e3c16c;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
200;ENDPOINT_MICROSOFT_ATP;36c1a4ac95a0543740e04c90efd1e7845c888ba8;wkssme001.netcenter.com.br;d7a22169-97cc-429f-b757-fc06b630dfa4;Windows10;36c1a4ac95a0543740e04c90efd1e7845c888ba8;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
201;ENDPOINT_MICROSOFT_ATP;483607cdeae4a8187d1e1d042788da61d31e1a15;wksdirfjwpf93.netcenter.com.br;f91d2315-6e1d-40cc-b84e-3dcee942fc33;Windows11;483607cdeae4a8187d1e1d042788da61d31e1a15;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8735.22631.3235;WINDOWS
202;ENDPOINT_MICROSOFT_ATP;44760ee680aeb1ffd2b396dd017f4939c49a1c3e;wkssme009.netcenter.com.br;9004b421-a0c4-4093-913f-73a06bed12c7;Windows10;44760ee680aeb1ffd2b396dd017f4939c49a1c3e;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
203;ENDPOINT_MICROSOFT_ATP;969ddeaab56f9ae82e14b9b3fa31a6b95869d464;wkscom004.netcenter.com.br;3ed80bea-68e8-4301-8052-8c4e01a0ff57;Windows10;969ddeaab56f9ae82e14b9b3fa31a6b95869d464;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
204;ENDPOINT_MICROSOFT_ATP;b11f3181b7d483e510d57e3ca3da8b935b0d3ab5;wkscom18lz4w3.netcenter.com.br;2df29e70-f7b3-4ce1-8513-ee8d2660f86e;Windows11;b11f3181b7d483e510d57e3ca3da8b935b0d3ab5;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.22621.3155;WINDOWS
205;ENDPOINT_MICROSOFT_ATP;645253032d9b465e363efb5a54954b3ec8898bb4;wksfinhn4lf22.netcenter.com.br;576929d6-c776-41a3-98d7-6ba3aa56d63b;Windows10;645253032d9b465e363efb5a54954b3ec8898bb4;ae05bd5a-1123-4191-8d0f-696daba31d1e;10.8675.19045.4046;WINDOWS
